Time,SpineBase_X,SpineBase_Y,SpineBase_Z,SpineBase_State,SpineMid_X,SpineMid_Y,SpineMid_Z,SpineMid_State,Neck_X,Neck_Y,Neck_Z,Neck_State,Head_X,Head_Y,Head_Z,Head_State,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ShoulderLeft_State,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,ElbowLeft_State,WristLeft_X,WristLeft_Y,WristLeft_Z,WristLeft_State,HandLeft_X,HandLeft_Y,HandLeft_Z,HandLeft_State,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderRight_State,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,ElbowRight_State,WristRight_X,WristRight_Y,WristRight_Z,WristRight_State,HandRight_X,HandRight_Y,HandRight_Z,HandRight_State,HipLeft_X,HipLeft_Y,HipLeft_Z,HipLeft_State,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,KneeLeft_State,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,AnkleLeft_State,FootLeft_X,FootLeft_Y,FootLeft_Z,FootLeft_State,HipRight_X,HipRight_Y,HipRight_Z,HipRight_State,KneeRight_X,KneeRight_Y,KneeRight_Z,KneeRight_State,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,AnkleRight_State,FootRight_X,FootRight_Y,FootRight_Z,FootRight_State,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineShoulder_State,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,HandTipLeft_State,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,ThumbLeft_State,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,HandTipRight_State,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ThumbRight_State,
00_00_01_0467,-0.107317,0.106079,4.124578,2,-0.122332,0.398744,4.085323,2,-0.136998,0.684220,4.032290,2,-0.139459,0.823005,4.039532,2,-0.301053,0.569382,4.037443,2,-0.399847,0.366884,4.023381,2,-0.245689,0.323565,3.881863,2,-0.214255,0.347642,3.891075,2,0.044727,0.575865,4.064988,2,0.128286,0.322227,4.136031,2,0.173915,0.116040,4.162552,2,0.182160,0.066990,4.165334,2,-0.175961,0.102321,4.082260,2,-0.213074,-0.300552,4.082422,2,-0.220347,-0.643447,4.178722,2,-0.208418,-0.693374,4.045113,2,-0.036899,0.108200,4.096592,2,-0.015643,-0.289864,4.125258,2,-0.014710,-0.629974,4.186455,2,-0.004446,-0.680010,4.052782,2,-0.133402,0.613828,4.048172,2,-0.211432,0.362998,3.831779,2,-0.171409,0.349412,3.920727,2,0.198619,0.004562,4.177175,2,0.148904,0.047862,4.161500,2,
00_00_01_0500,-0.101876,0.102106,4.107982,2,-0.116864,0.396557,4.071218,2,-0.131842,0.684298,4.022333,2,-0.134121,0.825774,4.030428,2,-0.297878,0.567156,4.028809,2,-0.389313,0.361925,4.016764,2,-0.246378,0.327287,3.860945,2,-0.205495,0.340119,3.883629,2,0.049403,0.575436,4.048954,2,0.133668,0.320998,4.117124,2,0.178802,0.109227,4.132122,2,0.180195,0.063981,4.130559,2,-0.170495,0.097450,4.063365,2,-0.228656,-0.309648,4.027896,2,-0.213279,-0.644621,4.162041,2,-0.241139,-0.731870,4.133955,2,-0.031565,0.105002,4.082142,2,-0.012686,-0.290489,4.123852,2,-0.015219,-0.629913,4.187704,2,-0.007130,-0.679573,4.053625,2,-0.128099,0.613332,4.036891,2,-0.203455,0.351408,3.826006,2,-0.166256,0.329046,3.904849,2,0.193467,0.000788,4.147175,2,0.142423,0.062802,4.104801,2,
00_00_01_0533,-0.098805,0.100275,4.092123,2,-0.113151,0.395466,4.060313,2,-0.127631,0.684142,4.015581,2,-0.130558,0.826843,4.023638,2,-0.295251,0.565813,4.023570,2,-0.365721,0.353499,4.008768,2,-0.233893,0.325720,3.841626,2,-0.196792,0.336462,3.883755,1,0.054671,0.573240,4.036838,2,0.136782,0.315020,4.095475,2,0.174911,0.110984,4.087854,2,0.174253,0.057897,4.099398,2,-0.168246,0.096272,4.051342,2,-0.227000,-0.305798,4.002840,2,-0.198452,-0.639875,4.129466,2,-0.228350,-0.726580,4.091781,2,-0.027590,0.102444,4.062150,2,-0.008582,-0.292419,4.121290,2,-0.015477,-0.630212,4.188588,2,-0.009451,-0.679345,4.054082,2,-0.124010,0.612921,4.029137,2,-0.163256,0.339984,3.884629,2,-0.191840,0.293768,3.884250,2,0.180884,-0.008547,4.117343,2,0.149968,0.022983,4.088333,2,
00_00_01_0567,-0.090429,0.101637,4.076211,2,-0.107574,0.396362,4.046851,2,-0.124197,0.684963,4.005418,2,-0.128098,0.827389,4.008719,2,-0.292929,0.564690,4.013911,2,-0.324310,0.309289,3.979381,2,-0.166419,0.327815,3.836957,2,-0.110280,0.329470,3.899929,1,0.058542,0.572699,4.023808,2,0.137442,0.306801,4.054700,2,0.169255,0.102864,4.052567,2,0.164013,0.049206,4.052748,2,-0.160263,0.097795,4.032351,2,-0.227779,-0.295890,3.960777,2,-0.188703,-0.627781,4.069004,2,-0.214179,-0.713292,4.012822,2,-0.019194,0.103678,4.049425,2,-0.007938,-0.290719,4.120179,2,-0.015771,-0.631492,4.188201,2,-0.010743,-0.680272,4.053459,2,-0.120108,0.613721,4.018043,2,-0.061596,0.303562,3.889816,2,-0.113057,0.277470,3.879400,2,0.178955,-0.010307,4.073844,2,0.128611,0.042959,4.040727,2,
00_00_01_0600,-0.092745,0.098929,4.059749,2,-0.106092,0.393321,4.028419,2,-0.118417,0.681715,3.984859,2,-0.128008,0.827395,3.997254,2,-0.289563,0.559822,3.999715,2,-0.325418,0.308119,3.981699,2,-0.179416,0.327903,3.826527,2,-0.127459,0.331765,3.881289,1,0.060505,0.569554,4.003642,2,0.138951,0.302617,4.029364,2,0.161702,0.098323,3.996949,2,0.153587,0.043589,4.003455,2,-0.162120,0.096732,4.018375,2,-0.228031,-0.286840,3.932956,2,-0.189962,-0.616055,3.998691,2,-0.202762,-0.705431,3.947304,2,-0.021852,0.099172,4.030644,2,-0.006166,-0.289851,4.116795,2,-0.015966,-0.630944,4.187366,2,-0.012690,-0.680083,4.052744,2,-0.115470,0.610491,3.997989,2,-0.084193,0.323578,3.876809,2,-0.121452,0.275125,3.855616,2,0.163463,-0.021043,4.010180,2,0.116151,0.043017,3.992539,2,
00_00_01_0633,-0.093495,0.093561,4.043981,2,-0.107847,0.389971,4.012127,2,-0.121432,0.680475,3.968517,2,-0.129692,0.825078,3.973998,2,-0.289141,0.557470,3.990455,2,-0.322374,0.303133,3.986021,2,-0.195439,0.326995,3.814617,2,-0.141026,0.328878,3.856536,1,0.059449,0.564829,3.979015,2,0.132039,0.294142,3.988970,2,0.154075,0.091416,3.944354,2,0.144449,0.027427,3.947513,2,-0.162637,0.092503,4.004291,2,-0.219915,-0.291492,3.896935,2,-0.197500,-0.626976,3.930300,2,-0.211508,-0.712597,3.865950,2,-0.022779,0.092852,4.013364,2,-0.004973,-0.290351,4.111187,2,-0.016423,-0.631156,4.185700,2,-0.017733,-0.680514,4.051159,2,-0.118147,0.608717,3.981633,2,-0.083577,0.321219,3.848477,2,-0.121494,0.273073,3.839181,2,0.146734,-0.029683,3.950848,2,0.116257,0.047617,3.925867,2,
00_00_01_0667,-0.093680,0.087508,4.025687,2,-0.110065,0.385352,3.992757,2,-0.125903,0.677333,3.947989,2,-0.133593,0.815086,3.947454,2,-0.290885,0.552916,3.978420,2,-0.320746,0.301765,3.985865,1,-0.184821,0.314870,3.782376,1,-0.120610,0.313613,3.841042,1,0.053190,0.566032,3.950253,2,0.126492,0.304621,3.953733,2,0.135072,0.104111,3.893073,2,0.133922,0.043254,3.877284,2,-0.162521,0.087331,3.990027,2,-0.214367,-0.302154,3.867424,2,-0.210582,-0.638396,3.861904,2,-0.219580,-0.716193,3.779208,2,-0.023288,0.086082,3.990587,2,-0.002604,-0.298181,4.104358,2,-0.016901,-0.632157,4.184341,2,-0.023219,-0.681872,4.050198,2,-0.122034,0.605198,3.961395,2,-0.081417,0.314355,3.828645,2,-0.128031,0.254219,3.822750,2,0.138853,-0.018614,3.880849,2,0.111398,0.053603,3.843000,2,
00_00_01_0700,-0.095802,0.081810,3.999743,2,-0.113612,0.379221,3.967171,2,-0.130779,0.670782,3.923089,2,-0.138435,0.813546,3.926394,2,-0.290124,0.548822,3.960929,2,-0.317638,0.294936,3.978417,1,-0.209255,0.297936,3.792427,1,-0.143974,0.300543,3.823156,1,0.052206,0.561413,3.929070,2,0.123461,0.310784,3.920002,2,0.125870,0.112661,3.844986,2,0.116889,0.050087,3.824087,2,-0.165344,0.081782,3.960946,2,-0.213863,-0.305442,3.837226,2,-0.219974,-0.640462,3.795474,2,-0.232597,-0.712014,3.704422,2,-0.024650,0.080498,3.968229,2,-0.000663,-0.305884,4.087602,2,-0.017587,-0.633985,4.181887,2,-0.025057,-0.683681,4.047825,2,-0.126592,0.598752,3.936294,2,-0.083936,0.288316,3.807961,2,-0.145932,0.233952,3.807223,2,0.120417,-0.015246,3.831251,2,0.083056,0.046483,3.819750,2,
00_00_01_0733,-0.097606,0.076107,3.978685,2,-0.113391,0.373012,3.945394,2,-0.128480,0.663964,3.900343,2,-0.143891,0.805471,3.886273,2,-0.293270,0.539795,3.934711,2,-0.334495,0.310793,3.951226,2,-0.213593,0.283503,3.775536,1,-0.153030,0.287318,3.803361,1,0.050695,0.558078,3.899484,2,0.119875,0.307879,3.877446,2,0.107884,0.117902,3.785772,2,0.101537,0.064688,3.754300,2,-0.166903,0.076812,3.942686,2,-0.213657,-0.309785,3.802100,2,-0.224686,-0.654840,3.732933,2,-0.229126,-0.712187,3.625606,2,-0.026621,0.074044,3.944197,2,0.001880,-0.307235,4.073370,2,-0.017175,-0.633890,4.179315,2,-0.025543,-0.683710,4.045394,2,-0.124819,0.592096,3.913812,2,-0.100152,0.271307,3.783404,2,-0.152867,0.220542,3.793858,2,0.106441,0.003123,3.747425,2,0.069842,0.063827,3.746461,2,
00_00_01_0767,-0.100700,0.067836,3.949929,2,-0.115332,0.364778,3.917660,2,-0.129383,0.655839,3.873868,2,-0.150822,0.797335,3.868714,2,-0.297269,0.535251,3.919634,2,-0.344896,0.317607,3.939045,2,-0.253351,0.295965,3.744959,2,-0.189946,0.293612,3.778038,1,0.048926,0.549098,3.872077,2,0.116316,0.304607,3.837638,2,0.099148,0.119917,3.735412,2,0.087816,0.070228,3.704962,2,-0.170100,0.069337,3.916792,2,-0.212221,-0.309863,3.776242,2,-0.220576,-0.642399,3.693999,2,-0.230299,-0.705452,3.592633,2,-0.029470,0.065135,3.912740,2,0.002709,-0.309139,4.065129,2,-0.015200,-0.635285,4.178215,2,0.006745,-0.724893,4.141782,2,-0.125968,0.583937,3.887001,2,-0.133115,0.258822,3.761420,2,-0.193729,0.234520,3.772923,2,0.086805,0.017450,3.704310,2,0.083679,0.106909,3.664647,2,
00_00_01_0800,-0.104391,0.064154,3.922104,2,-0.121697,0.360187,3.886867,2,-0.138671,0.650189,3.839732,2,-0.158255,0.789767,3.836418,2,-0.299542,0.531248,3.892197,2,-0.346786,0.282502,3.891489,2,-0.241193,0.301793,3.704859,1,-0.174385,0.305610,3.754643,1,0.044747,0.545422,3.842762,2,0.104807,0.312366,3.809043,2,0.087575,0.130073,3.688713,2,0.077352,0.081775,3.658849,2,-0.173946,0.066105,3.887105,2,-0.211075,-0.308610,3.748192,2,-0.221451,-0.656284,3.663553,2,-0.233403,-0.723656,3.567584,2,-0.032957,0.061088,3.886753,2,0.000401,-0.313345,4.047318,2,-0.011642,-0.633753,4.174440,2,0.009890,-0.723429,4.143969,2,-0.134505,0.578568,3.853734,2,-0.121371,0.284062,3.732673,2,-0.170575,0.248334,3.731846,2,0.067293,0.029561,3.645607,2,0.094189,0.100714,3.628667,2,
00_00_01_0833,-0.109209,0.057587,3.890420,2,-0.125985,0.351060,3.855771,2,-0.142145,0.638644,3.809554,2,-0.168807,0.779876,3.800170,2,-0.313941,0.515315,3.859965,2,-0.316051,0.234636,3.825127,2,-0.245688,0.321017,3.641393,1,-0.173927,0.325276,3.721107,1,0.038453,0.537129,3.809458,2,0.101532,0.318888,3.765460,2,0.086804,0.140043,3.651865,2,0.067395,0.082596,3.605021,2,-0.178830,0.059574,3.857936,2,-0.205362,-0.307720,3.728382,2,-0.210060,-0.655565,3.653321,2,-0.229276,-0.724573,3.561470,2,-0.037585,0.054591,3.852527,2,0.000198,-0.321497,4.016105,2,-0.008706,-0.632026,4.166259,2,-0.021225,-0.682217,4.032975,2,-0.138211,0.567610,3.823298,2,-0.159271,0.339409,3.705794,2,-0.165713,0.286968,3.699167,2,0.057813,0.037691,3.594232,2,0.064422,0.107449,3.566740,2,
00_00_01_0867,-0.111062,0.054070,3.854411,2,-0.129643,0.346547,3.821053,2,-0.147484,0.633111,3.775951,2,-0.176560,0.777999,3.770238,2,-0.316545,0.512818,3.828372,2,-0.354230,0.271708,3.823123,2,-0.234613,0.384381,3.687959,2,-0.192094,0.395478,3.694030,1,0.025088,0.533266,3.765785,2,0.097304,0.311809,3.738398,2,0.079998,0.139650,3.614457,2,0.068644,0.094146,3.569064,2,-0.181078,0.055775,3.818690,2,-0.206776,-0.299694,3.697908,2,-0.200452,-0.665292,3.639696,2,-0.221163,-0.739628,3.556275,2,-0.039038,0.051378,3.819751,2,-0.005244,-0.332467,3.991702,2,-0.004022,-0.632371,4.163879,2,0.009471,-0.722955,4.140751,2,-0.143143,0.562337,3.789430,2,-0.141327,0.413109,3.676436,2,-0.139632,0.333458,3.657385,2,0.057725,0.047469,3.551481,2,0.057710,0.124673,3.539056,2,
